,,Overall,,Plant-mediated,,Soil-mediated,
Predictor,Geographic distance,Estimate,P,Estimate,P,Estimate,P
Replacement,,,,,,,
Geographic distance,240,0.08,0.118,0.15,0.000,0.00,0.980
Climatic distance,240,0.02,0.401,-0.06,0.137,0.08,0.068
pH distance,240,0.28,0.000,0.05,0.091,0.39,0.000
Plant,240,0.16,0.000,0.14,0.000,0.16,0.000
Bacteria,240,-0.03,1.000,-0.05,0.133,-0.01,1.000
Fungi,240,0.00,1.000,0.04,0.263,-0.05,0.353
Geographic distance,260,0.10,0.054,0.15,0.004,0.01,0.922
Climatic distance,260,0.05,0.225,-0.03,1.000,0.11,0.001
pH distance,260,0.27,0.000,0.04,1.000,0.39,0.000
Plant,260,0.16,0.000,0.14,0.012,0.17,0.000
Bacteria,260,-0.02,0.178,-0.05,0.368,0.00,1.000
Fungi,260,0.00,1.000,0.04,0.804,-0.06,1.000
Geographic distance,280,0.09,0.023,0.10,0.043,0.05,0.180
Climatic distance,280,0.08,0.227,0.01,1.000,0.12,0.001
pH distance,280,0.28,0.000,0.04,0.606,0.39,0.000
Plant,280,0.15,0.000,0.14,0.002,0.15,0.000
Bacteria,280,-0.01,1.000,-0.05,0.203,0.02,1.000
Fungi,280,-0.04,0.330,0.02,0.385,-0.08,0.055
Geographic distance,300,0.10,0.074,0.10,0.017,0.05,0.882
Climatic distance,300,0.10,0.019,0.03,0.340,0.13,0.034
pH distance,300,0.26,0.000,0.03,0.322,0.38,0.000
Plant,300,0.16,0.000,0.15,0.000,0.16,0.000
Bacteria,300,-0.05,0.143,-0.08,0.173,-0.01,0.824
Fungi,300,-0.04,0.521,0.03,0.212,-0.09,0.633
Geographic distance,320,0.10,0.000,0.09,0.138,0.07,0.368
Climatic distance,320,0.11,0.002,0.05,0.044,0.13,0.008
pH distance,320,0.28,0.000,0.04,0.085,0.39,0.000
Plant,320,0.14,0.000,0.14,0.000,0.14,0.000
Bacteria,320,-0.05,0.097,-0.05,0.548,-0.04,0.462
Fungi,320,-0.03,0.300,0.04,0.312,-0.08,0.008
Geographic distance,340,0.11,0.016,0.10,0.024,0.08,0.010
Climatic distance,340,0.13,0.013,0.07,0.068,0.14,0.000
pH distance,340,0.28,0.000,0.04,0.157,0.38,0.000
Plant,340,0.12,0.000,0.11,0.022,0.13,0.000
Bacteria,340,-0.07,0.023,-0.08,1.000,-0.04,0.554
Fungi,340,-0.01,0.643,0.06,0.222,-0.07,0.071
Geographic distance,360,0.11,0.015,0.10,0.000,0.08,0.006
Climatic distance,360,0.14,0.000,0.07,0.327,0.14,0.000
pH distance,360,0.27,0.000,0.05,0.725,0.38,0.000
Plant,360,0.12,0.001,0.10,0.069,0.13,0.000
Bacteria,360,-0.06,0.046,-0.07,0.317,-0.04,0.643
Fungi,360,0.00,1.000,0.07,0.078,-0.06,0.039
Geographic distance,380,0.09,0.000,0.07,0.037,0.08,0.009
Climatic distance,380,0.15,0.000,0.10,0.046,0.14,0.000
pH distance,380,0.25,0.000,0.03,0.153,0.36,0.000
Plant,380,0.15,0.000,0.12,0.000,0.16,0.000
Bacteria,380,-0.07,0.162,-0.06,1.000,-0.06,0.039
Fungi,380,-0.02,0.189,0.05,0.242,-0.07,0.522
Geographic distance,400,0.10,0.000,0.08,0.057,0.07,0.049
Climatic distance,400,0.18,0.000,0.12,0.000,0.16,0.000
pH distance,400,0.24,0.000,0.02,0.250,0.35,0.000
Plant,400,0.17,0.000,0.13,0.000,0.17,0.000
Bacteria,400,-0.05,0.167,-0.05,0.209,-0.04,0.084
Fungi,400,-0.06,1.000,0.01,1.000,-0.10,0.000
Geographic distance,420,0.11,0.000,0.09,0.000,0.08,0.001
Climatic distance,420,0.18,0.000,0.12,0.000,0.16,0.000
pH distance,420,0.25,0.000,0.02,1.000,0.36,0.000
Plant,420,0.17,0.000,0.13,0.000,0.17,0.000
Bacteria,420,-0.06,0.032,-0.05,0.079,-0.05,0.181
Fungi,420,-0.05,0.725,0.01,0.603,-0.09,0.000
Geographic distance,440,0.11,0.000,0.07,0.030,0.09,0.002
Climatic distance,440,0.19,0.000,0.12,0.002,0.18,0.000
pH distance,440,0.25,0.000,0.04,0.040,0.34,0.000
Plant,440,0.17,0.000,0.14,0.000,0.17,0.000
Bacteria,440,-0.05,0.063,0.00,1.000,-0.07,0.023
Fungi,440,-0.05,0.048,0.00,1.000,-0.07,0.090
Geographic distance,460,0.12,0.000,0.07,0.031,0.12,0.000
Climatic distance,460,0.20,0.000,0.12,0.000,0.19,0.000
